"F1","jscott","critical","2:15PM","For user jscott: Unauthorized transfer of $350,000 from corporate account to external beneficiary in Lagos, Nigeria"
"F2","imani","critical","10:42AM","For user imani: Large unauthorized cash withdrawal detected at ATM in Dallas, Texas"
"F3","bbrown","critical","5:27PM","For user bbrown: Suspicious foreign currency exchange transaction flagged at branch in New York, New York"
"F4","jpeter","critical","8:03AM","For user jpeter: Multiple failed credit‑card authorizations at point‑of‑sale terminal in Dallas, Texas"
"F5","jdoe","critical","1:12PM","For user jdoe: Potential money‑laundering pattern detected in series of small ACH deposits in Phoenix, Arizona"
"F6","imani","critical","11:59PM",imani: "Phishing email containing banking login details intercepted by email filter in Atlanta, Georgia"
"F7","jscott","critical","4:41AM","For user Unusual spike in high‑value wire transfers originating from offshore account in Panama City, Panama"
"F8","imani","critical","9:30AM","For user imani: Unauthorized transfer of $280,000 from corporate account to external beneficiary in Lagos, Nigeria"
"F9","imani","critical","6:18PM","For user imani: Large cryptocurrency transfer flagged for potential fraud in Singapore"
"F10","jscott","critical","3:05AM","For user ATM maintenance required after fault detected in machine at Jersey City, New Jersey"
"F11","jdoe","critical","7:56PM","For user jdoe: Massive unauthorized wire transfer of $1.2 million detected in Johannesburg, South Africa"
"F12","imani","critical","12:07AM",imani: "Unapproved change to bank routing number detected in New York, New York"
"F13","jscott","critical","2:34PM","For user Data breach in customer database involving account numbers from Philadelphia, Pennsylvania"
"F14","jscott","critical","10:22AM",jscott: Unauthorized access attempt to core banking system from IP address in Moscow, Russia"
"F15","bbrown","critical","5:48PM","For user bbrown: Unusual spike in overdraft fees collected at branch in Boston, Massachusetts"
"F16","jdoe","critical","8:11AM","For user jdoe: Large unauthorized ACH payment attempted to vendor account in Miami, Florida"
"F17","jdoe","critical","4:02PM","For user jdoe: Unauthorized modification of bank account permissions detected in Sydney, Australia"
"F18","jdoe","critical","9:14AM","For user jdoe: Anomaly detected in foreign exchange rate calculations in London, United Kingdom"
"F19","jdoe","critical","11:06PM",jdoe: "Zero‑day vulnerability exploited in online banking mobile app in Nairobi, Kenya"
"F20","jdoe","critical","3:37AM","For user jdoe: High‑frequency trading alert triggered for security XYZ in Frankfurt, Germany"
"F21","bbrown","critical","1:55PM","For user Suspicious large cash deposit at branch in Miami, Florida"
"F23","jdoe","critical","7:29AM","For user jdoe: Unusual surge in debit‑card cash withdrawals at ATM in Portland, Oregon"
"F24","bbrown","critical","4:16PM","For user Massive cyber‑phishing campaign targeting banking staff identified in Madrid, Spain"
"F25","imani","critical","2:50AM","For user imani: Unexpected latency on payment gateway reported by users in Denver, Colorado"
"F26","imani","critical","2:51AM","For user imani: Unexpected latency on payment gateway reported by users in Denver, Colorado"
