"01", "imani", "critical", "5:00AM",  "Multiple ATM pin numbers entries incorrect at location in Jersey City, New Jersey"
 "02", "imani", "high", "6:15AM",  "Account balance just dropped below threshold!"
 "03", "imani", "medium", "7:00AM",  "Account password has not been updated in a long time and is recommended to update as soon as possible!"
 "04", "imani", "low", "7:00AM",  "Friendly reminder to contribute to your Roth IRA"
 "05", "jsmith", "critical", "5:00AM",  "Multiple ATM pin numbers entries incorrect at location in Jersey City, New Jersey"
  "06", "jsmith", "high", "6:15AM",  "Account balance just dropped below threshold!"
  "07", "jsmith", "medium", "7:00AM",  "Account password has not been updated in a long time and is recommended to update as soon as possible!"
  "08", "jsmith", "low", "7:00AM",  "Friendly reminder to contribute to your Roth IRA"
  "09","jsmith","critical","5:00AM","Multiple ATM PIN numbers entered incorrectly at location in Jersey City, New Jersey"
  "10","adoe","medium","9:15AM","Unusual spike in high‑value wire transfers originating from offshore account in Panama City, Panama"
  "11","bwhite","critical","3:45PM","Suspected credit‑card fraud detected on account ending 4321 at branch in Dallas, Texas"
  "12","cgreen","info","11:30PM","Quarterly revenue report generated for fiscal year 2026 and distributed to stakeholders in Boston,Massachusetts"
  "13","dking","medium","7:20AM","Large unauthorized ACH payment attempted to vendor account in Miami, Florida"
  "51","aanderson","critical","3:12AM","Large unauthorized cash withdrawal detected at ATM in Dallas, Texas"
  "52","bthomas","medium","8:27PM","Suspicious foreign currency exchange transaction flagged at branch in New York, New York"
  "53","cwhite","critical","11:45PM","Unauthorized transfer of $300,000 from corporate account to external beneficiary in Lagos,Nigeria"
  "54","dking","info","4:05AM","Monthly reconciliation of savings accounts completed for all branches in Chicago, Illinois"
  "55","eclark","medium","6:38AM","Multiple failed credit‑card authorizations at point‑of‑sale terminal in Dallas, Texas"
  "56","flee","critical","2:14PM","Potential money‑laundering pattern detected in series of small ACH deposits in Phoenix, Arizona"
  "57","gmartin","info","9:52AM","Quarterly investment portfolio performance report generated for investors in Miami, Florida"
  "58","hlee","medium","10:09PM","High‑volume trade activity exceeding threshold on foreign exchange desk in London, United Kingdom"
  "59","ijones","critical","7:05AM","Cyber‑attack attempt on online banking portal detected in Toronto, Canada"
  "60","kking","info","1:28PM","Daily cash deposit totals verified for all ATMs in Seattle, Washington"
  "61","lclark","medium","5:30PM","Unusual pattern of rapid buy/sell orders on stock ticker ABC in New Delhi, India"
  "62","mlee","critical","12:22AM","Phishing email containing banking login details intercepted by email filter in Atlanta, Georgia"
  "63","nking","info","8:03AM","Credit‑card reward points balance updated for all customers in Denver, Colorado"
  "64","obaker","medium","3:18PM","ATM maintenance required after fault detected in machine at Jersey City, New Jersey"
  "65","pgreen","critical","4:55PM","Large cryptocurrency transfer flagged for potential fraud in Singapore"
  "66","qthomas","info","2:07AM","Cash management dashboard refreshed for all branches in Houston, Texas"
  "67","rking","medium","9:42PM","Anomalous spike in overdraft fees collected at branch in Boston, Massachusetts"
  "68","slee","critical","6:12AM","Data breach in customer database involving account numbers from Philadelphia, Pennsylvania"
  "69","twhite","info","11:07AM","Monthly interest rate update applied to all fixed‑deposit accounts in Minneapolis, Minnesota"
  "70","uclark","medium","1:55PM","Failed transaction settlement reported on inter‑bank network in San Antonio, Texas"
  "71","vclark","critical","10:03PM","Unapproved change to bank routing number detected in New York, New York"
  "72","wlee","info","7:48AM","Daily cash drawer audit completed at retail outlets in Orlando, Florida"
  "73","xking","medium","3:33PM","Suspected duplicate charge on credit‑card transaction in Las Vegas, Nevada"
  "74","yking","critical","5:05AM","Unauthorized access attempt to core banking system from IP address in Moscow, Russia"
  "75","zlee","info","12:52PM","Cash‑in‑ATM volume report generated for all ATMs in Houston, Texas"
  "76","aaron","medium","8:19PM","High‑frequency trading alert triggered for security XYZ in Frankfurt, Germany"
  "77","bclark","critical","2:46AM","Massive unauthorized wire transfer of $1.3 million detected in Johannesburg, South Africa"
  "78","clee","info","4:21AM","New mortgage application processed and approved for customer in Charlotte, North Carolina"
  "79","dlee","medium","11:36PM","Unexpected surge in debit‑card cash withdrawals at ATM in Portland, Oregon"
  "80","elee","critical","6:01AM","Ransomware encryption activity discovered on financial server in Dallas, Texas"
